text,label,label_name
i am still waiting on my card?,11,card_arrival
what can i do if my card still hasn't arrived after 2 weeks?,11,card_arrival
i have been waiting over a week. is the card still coming?,11,card_arrival
can i track my card while it is in the process of delivery?,11,card_arrival
"how do i know if i will get my card, or if it is lost?",11,card_arrival
when did you send me my new card?,11,card_arrival
do you have info about the card on delivery?,11,card_arrival
what do i do if i still have not received my new card?,11,card_arrival
does the package with my card have tracking?,11,card_arrival
i ordered my card but it still isn't here,11,card_arrival
why has my new card still not come?,11,card_arrival
"i still haven't received my card after two weeks, is it lost?",11,card_arrival
can you track my card for me?,11,card_arrival
is there a way to track the delivery of my card?,11,card_arrival
it's been a week since i ordered my card and it's not here. please help?,11,card_arrival
will i be able to track the card that was sent to me?,11,card_arrival
i don't have my card in 1 week. should i be worried?,11,card_arrival
how do i know when my new card is going to arrive?,11,card_arrival
my new card has not been delivered to my home yet. what is going on?,11,card_arrival
it's been a week since you issued me a card and i still didn't get it. should i keep waiting?,11,card_arrival
"on the card that is coming, what's the tracking info?",11,card_arrival
what is the status of my card's delivery?,11,card_arrival
have you sent out my card yet?,11,card_arrival
my card isn't here yet.,11,card_arrival
where is my new card?,11,card_arrival
it's been a week since you sent my card and i still don't have it.,11,card_arrival
how do i track the card you sent me?,11,card_arrival
when will i recieve my new card?,11,card_arrival
when will i get my new card?,11,card_arrival
what is the expected delivery date for my card?,11,card_arrival
is there a tracking number for the card you sent me?,11,card_arrival
i would like to track the card you sent to me.,11,card_arrival
has my card been lost in delivery?,11,card_arrival
my new card hasn't came in.,11,card_arrival
where is the card i ordered 2 weeks ago?,11,card_arrival
can i get an update on my replacement card?,11,card_arrival
how long does it take for a new card to ship?,11,card_arrival
what's the tracking on the card you sent?,11,card_arrival
i haven't received my card and am worried it is lost.,11,card_arrival
my card still hasn't been delivered,11,card_arrival
i need to find out where the card is that i ordered.,11,card_arrival
where is my credit card that was to be mailed?,11,card_arrival
i ordered my card but it hasn't been delivered yet,11,card_arrival
am i able to track the card that was just sent to me?,11,card_arrival
can you tell me why i haven't received my new card?,11,card_arrival
i'm still waiting for my new card.,11,card_arrival
is my card lost? i am still waiting for it to be delivered.,11,card_arrival
should i keep waiting for my card to be delivered?,11,card_arrival
can i track when my card will be delivered?,11,card_arrival
how can i check on the status of my new card?,11,card_arrival
"a card has been sent to me, how do i track it?",11,card_arrival
is there a way i can get my card expedited?,11,card_arrival
what can i do to track the card you sent me?,11,card_arrival
why hasnt my card come in yet?,11,card_arrival
how can i periodically check the delivery of the card you sent?,11,card_arrival
what's the reason my new card hasn't come?,11,card_arrival
how long does it take for me to get my new card?,11,card_arrival
i don't have my card after 1 week. what are my next steps?,11,card_arrival
i know i'm getting a new card but would like know when i can expect to receive it.,11,card_arrival
i want to find out what happened to my new card?,11,card_arrival
was there a way for me to get tracking for that?,11,card_arrival
i am still waiting for my card.,11,card_arrival
my card hasn't arrived.,11,card_arrival
can i track the card you sent to me?,11,card_arrival
i haven't gotten my new card.,11,card_arrival
how long should it take for my new card to arrive in them mail? what should i do if i never receive it?,11,card_arrival
